No.;Kode;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;I47;Aspek 1;Aspek 2;Aspek 3;Aspek 4;Aspek 5;Aspek 6;Aspek 7;Aspek 8
312;6419;3;3;4;3;3;3;3;3;3;3;1;2;3;1;1;5;5;2;2;4;3;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;3;3;2;3;4;4;5;5;3;5;4;3,1;1,75;3,25;3;1,25;1;4;4,33
313;6420;3;3;4;3;4;3;3;3;3;4;3;2;2;2;1;3;3;2;3;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3;3;2;3;4;3;4;4;4;4;3,3;2,25;2,25;2;1;1;3,5;3,83
314;6421;2;2;5;3;3;3;3;3;3;3;5;4;3;3;3;3;3;3;2;2;3;4;4;3;3;3;3;3;3;3;3;4;4;4;4;5;4;3;3;4;4;4;4;4;4;5;5;3;3,75;3;2;3,25;3;3,9;4,33
315;6422;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;4;4;2;4;3;3;3;2;2;2;2;1;3;1;1;1;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;3;2,75;3,25;3,5;2,25;1;3,6;4
316;6423;5;5;3;3;3;4;3;4;4;5;3;3;3;3;4;3;4;2;5;2;2;3;3;2;2;2;1;1;3;2;4;4;4;4;4;5;4;5;4;5;5;4;4;5;5;5;4;3,9;3;3,25;3,5;2;3;4,4;4,5
317;6424;5;5;4;5;5;5;5;2;4;5;4;4;3;2;3;3;5;3;3;4;2;3;2;3;2;2;2;3;1;2;2;5;5;5;4;4;4;4;3;3;5;4;4;3;5;4;5;4,5;3,25;3,5;3,5;2,38;1,67;4,2;4,17
318;6425;5;3;5;1;5;5;5;5;5;3;1;1;4;3;4;5;5;3;2;3;3;2;2;2;2;2;1;2;2;2;2;4;4;4;4;5;4;3;4;4;5;4;5;5;5;5;5;4,2;2,25;4,25;2,5;2;2;4,1;4,83
319;6426;5;4;5;5;5;5;5;5;5;5;3;3;3;2;4;3;4;4;4;4;3;3;3;2;3;3;2;4;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4,9;2,75;3,75;4;2,88;3,33;5;5
320;6427;5;4;5;4;3;5;5;5;5;5;4;3;3;1;3;5;5;5;5;5;4;5;5;4;2;4;2;5;3;3;2;5;5;5;4;5;5;3;5;5;5;5;5;5;5;5;5;4,6;2,75;4,5;5;3,88;2,67;4,7;5
321;6428;4;4;3;4;5;5;5;5;5;5;3;3;3;1;1;5;5;4;5;3;3;2;2;2;2;2;1;1;2;2;2;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4,5;2,5;3,75;4;1,88;2;3,9;4
322;6429;5;3;5;4;3;3;3;3;3;2;3;3;3;4;5;5;5;3;2;3;3;2;4;2;2;2;2;3;3;3;3;5;5;4;5;4;5;5;5;5;4;4;5;5;5;5;5;3,4;3,25;4,5;2,5;2,5;3;4,7;4,83
