R90,R250,R1000,R2000,R3000,R4000
-9.094,-2.904,-0.56,-0.288,-0.116,-0.042
-8.995,-2.862,-0.531,-0.279,-0.105,-0.072
-8.84,-2.823,-0.544,-0.282,-0.108,-0.053
-8.706,-2.783,-0.543,-0.26,-0.106,-0.064
-8.606,-2.729,-0.526,-0.264,-0.116,-0.055
-8.452,-2.703,-0.511,-0.248,-0.1,-0.051
-8.346,-2.64,-0.498,-0.249,-0.11,-0.059
-8.196,-2.605,-0.497,-0.244,-0.086,-0.026
-8.059,-2.544,-0.455,-0.249,-0.089,-0.023
-7.924,-2.5,-0.444,-0.237,-0.09,-0.028
-7.801,-2.471,-0.454,-0.231,-0.084,-0.037
-7.671,-2.392,-0.42,-0.22,-0.071,-0.023
-7.539,-2.353,-0.419,-0.221,-0.056,-0.003
-7.357,-2.317,-0.411,-0.212,-0.075,-0.025
-7.266,-2.278,-0.41,-0.212,-0.076,-0.011
-7.107,-2.248,-0.378,-0.217,-0.067,-0.017
-6.946,-2.196,-0.364,-0.181,-0.075,-0.001
-6.797,-2.141,-0.352,-0.178,-0.052,-0.005
-6.635,-2.047,-0.341,-0.193,-0.059,0.008
-6.505,-2.026,-0.334,-0.175,-0.065,0.009
-6.377,-1.97,-0.319,-0.173,-0.043,-0.008
-6.225,-1.905,-0.288,-0.141,-0.058,0.007
-6.059,-1.879,-0.283,-0.147,-0.066,-0.008
-5.891,-1.8,-0.31,-0.157,-0.035,0.006
-5.73,-1.773,-0.253,-0.119,-0.048,0.019
-5.562,-1.718,-0.24,-0.151,-0.03,0.012
-5.403,-1.68,-0.224,-0.118,-0.031,0.022
-5.257,-1.623,-0.209,-0.13,-0.017,0.03
-5.105,-1.571,-0.189,-0.127,-0.013,0.026
-4.945,-1.51,-0.193,-0.128,-0.014,0.031
-4.776,-1.446,-0.184,-0.086,-0.012,0.031
-4.595,-1.404,-0.173,-0.112,0.054,0.05
-4.423,-1.332,-0.155,-0.086,-0.006,0.034
-4.265,-1.292,-0.14,-0.073,-0.008,0.061
