R90,R250,R1000,R2000,R3000,R4000
-14.841,-4.917,-1.171,-0.568,-0.351,-0.244
-14.836,-4.908,-1.167,-0.536,-0.34,-0.24
-14.775,-4.898,-1.169,-0.561,-0.336,-0.229
-14.779,-4.886,-1.178,-0.567,-0.344,-0.258
-14.83,-4.887,-1.157,-0.56,-0.356,-0.226
-14.693,-4.864,-1.171,-0.563,-0.34,-0.247
-14.726,-4.888,-1.174,-0.559,-0.316,-0.219
-14.72,-4.869,-1.161,-0.544,-0.334,-0.255
-14.718,-4.834,-1.156,-0.543,-0.34,-0.252
-14.593,-4.839,-1.156,-0.546,-0.316,-0.239
-14.606,-4.832,-1.164,-0.556,-0.344,-0.236
-14.566,-4.842,-1.166,-0.565,-0.327,-0.24
-14.534,-4.824,-1.154,-0.547,-0.339,-0.221
-14.517,-4.827,-1.149,-0.538,-0.329,-0.23
-14.48,-4.778,-1.14,-0.55,-0.337,-0.219
-14.432,-4.81,-1.135,-0.522,-0.351,-0.241
-14.45,-4.786,-1.135,-0.536,-0.317,-0.242
-14.375,-4.789,-1.135,-0.534,-0.316,-0.243
-14.35,-4.754,-1.142,-0.538,-0.325,-0.241
-14.321,-4.747,-1.128,-0.539,-0.308,-0.227
-14.28,-4.71,-1.137,-0.526,-0.333,-0.229
-14.246,-4.725,-1.124,-0.53,-0.341,-0.233
-14.105,-4.707,-1.128,-0.523,-0.333,-0.242
-14.167,-4.692,-1.119,-0.519,-0.324,-0.206
-14.119,-4.662,-1.096,-0.505,-0.321,-0.217
-14.079,-4.674,-1.116,-0.521,-0.32,-0.238
-13.985,-4.637,-1.097,-0.499,-0.316,-0.206
-13.949,-4.635,-1.091,-0.491,-0.299,-0.23
-13.9,-4.617,-1.097,-0.498,-0.332,-0.22
-13.834,-4.597,-1.066,-0.504,-0.31,-0.219
-13.848,-4.602,-1.101,-0.484,-0.305,-0.209
-13.756,-4.559,-1.091,-0.509,-0.304,-0.217
-13.725,-4.53,-1.053,-0.501,-0.304,-0.203
-13.689,-4.505,-1.072,-0.516,-0.308,-0.195
-13.608,-4.507,-1.06,-0.511,-0.3,-0.205
-13.534,-4.466,-1.062,-0.467,-0.315,-0.208
-13.463,-4.475,-1.041,-0.487,-0.293,-0.172
-13.417,-4.451,-1.03,-0.489,-0.279,-0.206
-13.334,-4.418,-1.062,-0.484,-0.311,-0.178
-13.321,-4.391,-1.031,-0.489,-0.301,-0.177
-13.281,-4.363,-1.035,-0.485,-0.298,-0.201
-13.182,-4.363,-1.022,-0.468,-0.303,-0.189
-13.126,-4.313,-1.015,-0.481,-0.308,-0.17
-13.015,-4.312,-1.02,-0.466,-0.302,-0.185
-12.954,-4.257,-1.011,-0.456,-0.3,-0.166
-12.91,-4.235,-1.012,-0.466,-0.31,-0.194
-12.841,-4.226,-1.004,-0.469,-0.276,-0.184
-12.765,-4.219,-0.989,-0.474,-0.277,-0.166
-12.693,-4.184,-0.984,-0.463,-0.254,-0.18
-12.648,-4.139,-0.99,-0.441,-0.261,-0.168
-12.509,-4.12,-0.97,-0.455,-0.261,-0.188
-12.511,-4.072,-0.965,-0.462,-0.218,-0.163
-12.371,-4.065,-0.962,-0.455,-0.269,-0.159
-12.314,-4.045,-0.952,-0.447,-0.247,-0.165
-12.256,-4.015,-0.946,-0.435,-0.26,-0.144
-12.142,-3.993,-0.924,-0.428,-0.265,-0.158
-12.05,-3.964,-0.933,-0.431,-0.253,-0.145
-11.976,-3.906,-0.92,-0.406,-0.255,-0.128
-11.876,-3.891,-0.906,-0.42,-0.218,-0.153
-11.801,-3.876,-0.898,-0.41,-0.245,-0.136
